,Latitude,Longitude,pH,EC,N,P,K,B,Zn,Fe,OM,Texture
Saru shah I ,34.2545862,71.9255771,8.07,0.207,0.6,1.295,110,0.42,0.08,0.53,0.82,Silt Loam
Saru shah II ,34.25414,71.9252188,8.03,0.258,0.68,0.362,164,0.51,0.09,0.59,1.38,silty clay loam
Saru shah III ,34.2179622,71.9596415,8.04,0.231,0.87,1.985,142,0.72,0.12,0.7,0.67,
Narai I ,34.245322,71.894399,7.8,0.349,0.66,7.666,220,0.73,0.18,0.54,1.1,
Narai II ,34.25125725,71.860446,8,0.234,0.44,1.255,114,0.72,0.16,0.75,0.65,Silt Loam
,34.486,71.961,7.88,0.211,,,,,,,,
,34.526,71.999,8.14,0.216,,,,,,,,
,34.496,72.072,8.1,0.235,,,,,,,,
,34.529,72.134,7.92,0.238,,,,,,,,
,34.493,72.228,7.98,0.236,,,,,,,,
,34.435,72.353,7.81,0.232,,,,,,,,
,34.404,72.432,7.99,0.205,,,,,,,,
,34.381,72.427,7.74,0.276,,,,,,,,
,34.341,72.377,7.86,0.219,,,,,,,,
,34.253,72.331,7.7,0.249,,,,,,,,
,34.249,72.321,7.77,0.286,,,,,,,,
,34.092,72.197,8.47,0.194,,,,,,,,
,34.078,72.145,8.32,0.292,,,,,,,,
,34.082,72.038,8.19,0.228,,,,,,,,
,34.142,71.935,8.14,0.242,,,,,,,,
,34.286,71.819,7.96,0.329,,,,,,,,
,34.342,71.828,8.1,0.235,,,,,,,,
,34.365,71.829,8,0.255,,,,,,,,
